pop,gen,best,mean,unique
1,219,8.762,7.3431,81
2,219,8.762,7.3436,71
3,219,8.762,7.1991,73
0,220,8.762,7.1738,80
1,220,8.762,7.3235,71
2,220,8.762,7.2934,81
3,220,8.762,7.156,80
0,221,8.762,7.3802,84
1,221,8.762,7.2014,84
2,221,8.762,7.1909,84
3,221,8.762,7.099,80
0,222,8.762,7.3363,71
1,222,8.762,7.4138,72
2,222,8.762,7.3606,71
3,222,8.762,7.2907,78
0,223,8.762,7.1815,76
1,223,8.762,7.1525,77
2,223,8.762,7.3015,70
3,223,8.762,7.4017,70
0,224,8.762,7.4617,75
1,224,8.762,7.4515,69
2,224,8.762,7.2202,81
3,224,8.762,7.099,78
0,225,8.762,7.3078,79
1,225,8.762,7.4072,70
2,225,8.762,7.3349,73
3,225,8.762,7.2329,72
0,226,8.762,7.3433,76
1,226,8.762,7.3962,79
2,226,8.762,7.2737,81
3,226,8.762,7.1826,75
0,227,8.762,7.4075,66
1,227,8.762,7.1667,70
2,227,8.762,7.2772,71
3,227,8.762,7.4755,65
0,228,8.762,7.47,68
1,228,8.762,7.2393,77
2,228,8.762,7.1203,85
3,228,8.762,7.1197,81
0,229,8.762,7.243,77
1,229,8.762,7.3858,70
2,229,8.762,7.3411,78
3,229,8.762,7.2972,75
0,230,8.762,7.1793,74
1,230,8.762,7.2896,83
2,230,8.762,7.1978,78
3,230,8.762,7.3355,74
0,231,8.762,7.207,78
1,231,8.762,7.2053,83
2,231,8.762,7.3014,81
3,231,8.762,7.2702,75
0,232,8.762,7.2522,83
1,232,8.762,7.2483,86
2,232,8.762,7.3584,72
3,232,8.762,7.2399,78
0,233,8.762,7.2611,74
